year,Hindcast_noclim_flux_an
1959,-0.49
1960,-0.56
1961,-0.59
1962,-0.62
1963,-0.62
1964,-0.64
1965,-0.64
1966,-0.76
1967,-0.76
1968,-0.79
1969,-0.9
1970,-0.93
1971,-0.9
1972,-0.96
1973,-1.13
1974,-1.03
1975,-1.05
1976,-1.04
1977,-1.16
1978,-1.26
1979,-1.27
1980,-1.38
1981,-1.39
1982,-1.36
1983,-1.43
1984,-1.46
1985,-1.49
1986,-1.5
1987,-1.59
1988,-1.7
1989,-1.69
1990,-1.65
1991,-1.64
1992,-1.6
1993,-1.55
1994,-1.62
1995,-1.71
1996,-1.74
1997,-1.73
1998,-1.93
1999,-1.91
2000,-1.87
2001,-1.87
2002,-1.97
2003,-2.07
2004,-2.05
2005,-2.11
2006,-2.13
2007,-2.15
2008,-2.17
2009,-2.15
2010,-2.22
2011,-2.21
2012,-2.26
2013,-2.37
2014,-2.35
2015,-2.39
2016,-2.55
