decimalyear,pco2atm
1960,307.6894
1960.083333,307.7643
1960.166667,307.8361
1960.25,307.9053
1960.333333,307.9721
1960.416667,308.0367
1960.5,308.0996
1960.583333,308.1611
1960.666667,308.2214
1960.75,308.2809
1960.833333,308.3398
1960.916667,308.3985
1961,308.4573
1961.083333,308.5166
1961.166667,308.5765
1961.25,308.6375
1961.333333,308.6998
1961.416667,308.7637
1961.5,308.8296
1961.583333,308.8977
1961.666667,308.9674
1961.75,309.0384
1961.833333,309.11
1961.916667,309.1816
1962,309.2528
1962.083333,309.323
1962.166667,309.3916
1962.25,309.4581
1962.333333,309.522
1962.416667,309.5827
1962.5,309.6396
1962.583333,309.6925
1962.666667,309.7417
1962.75,309.788
1962.833333,309.8319
1962.916667,309.8742
1963,309.9155
1963.083333,309.9565
1963.166667,309.9978
1963.25,310.0401
1963.333333,310.0841
1963.416667,310.1304
1963.5,310.1796
1963.583333,310.2323
1963.666667,310.2877
1963.75,310.3451
1963.833333,310.4035
1963.916667,310.4622
1964,310.5204
1964.083333,310.5771
1964.166667,310.6315
1964.25,310.6828
1964.333333,310.7302
1964.416667,310.7727
1964.5,310.8096
1964.583333,310.8405
1964.666667,310.8665
1964.75,310.8893
1964.833333,310.9107
1964.916667,310.9323
1965,310.9557
1965.083333,310.9828
1965.166667,311.015
1965.25,311.0541
1965.333333,311.1018
1965.416667,311.1598
1965.5,311.2296
1965.583333,311.3125
1965.666667,311.407
1965.75,311.5113
1965.833333,311.6234
1965.916667,311.7413
1966,311.8632
1966.083333,311.9871
1966.166667,312.1112
1966.25,312.2333
1966.333333,312.3518
1966.416667,312.4645
1966.5,312.5696
1966.583333,312.6657
1966.666667,312.7531
1966.75,312.8327
1966.833333,312.9056
1966.916667,312.9724
1967,313.0342
1967.083333,313.0919
1967.166667,313.1463
1967.25,313.1984
1967.333333,313.2491
1967.416667,313.2992
1967.5,313.3496
1967.583333,313.4013
1967.666667,313.4549
1967.75,313.5109
1967.833333,313.57
1967.916667,313.6329
1968,313.7002
1968.083333,313.7724
1968.166667,313.8502
1968.25,313.9342
1968.333333,314.025
1968.416667,314.1233
1968.5,314.2296
1968.583333,314.3443
1968.666667,314.4664
1968.75,314.5947
1968.833333,314.7277
1968.916667,314.8642
1969,315.0029
1969.083333,315.1426
1969.166667,315.2819
1969.25,315.4195
1969.333333,315.5543
1969.416667,315.6847
1969.5,315.8096
1969.583333,315.928
1969.666667,316.0399
1969.75,316.1455
1969.833333,316.2453
1969.916667,316.3395
1970,316.4285
1970.083333,316.5125
1970.166667,316.5919
1970.25,316.667
1970.333333,316.7381
1970.416667,316.8056
1970.5,316.8696
1970.583333,316.9307
1970.666667,316.9891
1970.75,317.0452
