decimalyear,pco2atm
1960,315.6522
1960.083333,315.727059
1960.166667,315.798907
1960.25,315.868054
1960.333333,315.93481
1960.416667,315.999487
1960.5,316.062395
1960.583333,316.123844
1960.666667,316.184146
1960.75,316.24361
1960.833333,316.302549
1960.916667,316.361272
1961,316.42009
1961.083333,316.479314
1961.166667,316.539254
1961.25,316.600222
1961.333333,316.662527
1961.416667,316.726481
1961.5,316.792395
1961.583333,316.860435
1961.666667,316.930199
1961.75,317.00114
1961.833333,317.072711
1961.916667,317.144367
1962,317.215559
1962.083333,317.285743
1962.166667,317.354371
1962.25,317.420896
1962.333333,317.484773
1962.416667,317.545455
1962.5,317.602395
1962.583333,317.655247
1962.666667,317.704472
1962.75,317.750729
1962.833333,317.794677
1962.916667,317.836978
1963,317.878291
1963.083333,317.919277
1963.166667,317.960595
1963.25,318.002906
1963.333333,318.046869
1963.416667,318.093145
1963.5,318.142395
1963.583333,318.195026
1963.666667,318.250447
1963.75,318.307813
1963.833333,318.366281
1963.916667,318.425006
1964,318.483144
1964.083333,318.539852
1964.166667,318.594285
1964.25,318.6456
1964.333333,318.692952
1964.416667,318.735499
1964.5,318.772395
1964.583333,318.803216
1964.666667,318.829218
1964.75,318.852073
1964.833333,318.873456
1964.916667,318.895041
1965,318.918502
1965.083333,318.945512
1965.166667,318.977745
1965.25,319.016876
1965.333333,319.064579
1965.416667,319.122527
1965.5,319.192395
1965.583333,319.275255
1965.666667,319.369781
1965.75,319.474043
1965.833333,319.586114
1965.916667,319.704065
1966,319.825968
1966.083333,319.949895
1966.166667,320.073917
1966.25,320.196107
1966.333333,320.314535
1966.416667,320.427274
1966.5,320.532395
1966.583333,320.628441
1966.666667,320.715842
1966.75,320.795498
1966.833333,320.868308
1966.916667,320.935173
1967,320.996994
1967.083333,321.05467
1967.166667,321.109102
1967.25,321.161191
1967.333333,321.211835
1967.416667,321.261937
1967.5,321.312395
1967.583333,321.364063
1967.666667,321.417608
1967.75,321.473647
1967.833333,321.5328
1967.916667,321.595686
1968,321.662924
1968.083333,321.735132
1968.166667,321.81293
1968.25,321.896936
1968.333333,321.98777
1968.416667,322.08605
1968.5,322.192395
1968.583333,322.307105
1968.666667,322.429207
1968.75,322.557408
1968.833333,322.690415
1968.916667,322.826936
1969,322.965678
1969.083333,323.105349
1969.166667,323.244656
1969.25,323.382307
1969.333333,323.517009
1969.416667,323.647469
1969.5,323.772395
1969.583333,323.890762
1969.666667,324.002618
1969.75,324.108277
1969.833333,324.208056
1969.916667,324.302269
1970,324.391231
1970.083333,324.475258
1970.166667,324.554664
1970.25,324.629766
1970.333333,324.700878
1970.416667,324.768316
1970.5,324.832395
1970.583333,324.89344
1970.666667,324.95182
1970.75,325.007914
1970.833333,325.0621
1970.916667,325.114758
1971,325.166267
1971.083333,325.217005
1971.166667,325.267351
1971.25,325.317684
1971.333333,325.368383
1971.416667,325.419827
1971.5,325.472395
1971.583333,325.526623
1971.666667,325.583684
1971.75,325.644905
1971.833333,325.711615
1971.916667,325.785144
1972,325.86682
1972.083333,325.957973
1972.166667,326.059931
1972.25,326.174023
1972.333333,326.301578
1972.416667,326.443926
1972.5,326.602395
1972.583333,326.777496
1972.666667,326.966471
1972.75,327.165742
1972.833333,327.371734
1972.916667,327.580869
1973,327.789571
1973.083333,327.994264
1973.166667,328.191369
1973.25,328.377312
1973.333333,328.548515
1973.416667,328.701401
1973.5,328.832395
1973.583333,328.93904
1973.666667,329.023366
1973.75,329.088525
1973.833333,329.137669
1973.916667,329.173948
1974,329.200513
1974.083333,329.220516
1974.166667,329.237108
1974.25,329.253441
1974.333333,329.272666
1974.416667,329.297933
1974.5,329.332395
1974.583333,329.378422
1974.666667,329.435266
1974.75,329.501399
1974.833333,329.575292
1974.916667,329.655417
1975,329.740245
1975.083333,329.828249
1975.166667,329.917898
1975.25,330.007666
1975.333333,330.096024
1975.416667,330.181443
1975.5,330.262395
1975.583333,330.337851
1975.666667,330.40878
1975.75,330.476653
1975.833333,330.542938
1975.916667,330.609106
1976,330.676624
1976.083333,330.746963
1976.166667,330.821592
1976.25,330.90198
1976.333333,330.989597
1976.416667,331.085912
1976.5,331.192395
1976.583333,331.310042
1976.666667,331.437963
1976.75,331.574795
1976.833333,331.719175
1976.916667,331.86974
1977,332.025127
1977.083333,332.183974
1977.166667,332.344917
1977.25,332.506593
1977.333333,332.66764
1977.416667,332.826695
1977.5,332.982395
1977.583333,333.133642
1977.666667,333.280404
1977.75,333.422911
1977.833333,333.561398
1977.916667,333.696095
1978,333.827236
1978.083333,333.955052
1978.166667,334.079776
1978.25,334.20164
1978.333333,334.320876
1978.416667,334.437717
1978.5,334.552395
1978.583333,334.665227
1978.666667,334.776875
1978.75,334.888084
1978.833333,334.999602
1978.916667,335.112174
1979,335.226547
1979.083333,335.343467
1979.166667,335.46368
1979.25,335.587933
1979.333333,335.716972
1979.416667,335.851544
1979.5,335.992395
1979.583333,336.139957
1979.666667,336.29341
1979.75,336.45162
1979.833333,336.613452
1979.916667,336.777772
1980,336.943446
