Year,Hindcast_model_mean_flux
1960,-0.81
1961,-0.73
1962,-0.8
1963,-0.95
1964,-1.16
1965,-1.29
1966,-1.28
1967,-1.08
1968,-1.11
1969,-1.15
1970,-1.09
1971,-1.15
1972,-1.39
1973,-1.33
1974,-1.29
1975,-1.35
1976,-1.35
1977,-1.44
1978,-1.47
1979,-1.25
1980,-1.63
1981,-1.59
1982,-1.64
1983,-1.76
1984,-1.72
1985,-1.63
1986,-1.75
1987,-1.75
1988,-1.65
1989,-1.68
1990,-1.78
1991,-1.89
1992,-2.09
1993,-2.03
1994,-1.87
1995,-1.83
1996,-1.81
1997,-1.86
1998,-1.96
1999,-1.9
2000,-1.88
2001,-1.69
2002,-2.1
2003,-2.07
2004,-2.01
2005,-2.05
2006,-2.12
2007,-2.21
2008,-2.12
2009,-2.23
2010,-2.1
2011,-2.35
2012,-2.37
2013,-2.37
2014,-2.46
2015,-2.47
2016,-2.47
2017,-2.38
